OI LOBF;2019-06-10;2019-06-10;33;138,46;138,46;1;0;38;2012-07-29;2
Reembolso Alessandra - Jan/2019;2019-06-15;2019-06-11;33;428,9;428,9;1;0;38;2012-07-29;2
ART - Billy The Gril;2019-06-14;2019-06-14;33;85,96;85,96;1;0;38;2012-07-29;2
Retirada - LOBF;2019-07-09;2019-07-09;33;1000;1000;1;0;38;2012-07-29;2
Pgto Silvia - Pau Ferro;2019-07-12;2019-07-12;33;1131;1131;1;0;38;2012-07-29;2
Pgto Diarista Maria ;2019-07-05;2019-07-16;33;320;320;1;0;38;2012-07-29;2
Pgto Diarista Ana;2019-07-05;2019-07-16;33;400;400;1;0;38;2012-07-29;2
Pgto Silvia - 06/2018;2019-07-11;2019-07-16;33;200;200;1;0;38;2012-07-29;2
OI LOBF;2019-07-10;2019-07-22;33;401,47;401,47;1;0;38;2012-07-29;2
Reembolso Alessandra - Jun/2019;2019-07-15;2019-07-22;33;380,91;380,91;1;0;38;2012-07-29;2
Reembolso Felipe - Jun/2019;2019-07-15;2019-07-22;33;39,12;39,12;1;0;38;2012-07-29;2
Reembolso Cristina - Jun/2019;2019-07-15;2019-07-22;33;71,75;71,75;1;0;38;2012-07-29;2
